parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
ab_p_e[2,19],-0.2719725381346109,0.1101934107286603,0.003417281048695556,1043.4867689299374,793.8839972069549,1.0002232746968915,0.0006625229769770178
ab_p_e[1,20],-0.2505351376512605,0.15711826309236904,0.004387070014054348,1287.25335831595,666.9011895429629,1.0022349080782,0.0008172934745973848
ab_p_e[2,20],-0.2164304276063145,0.10759738389072905,0.00359030655754199,893.6900516339002,751.6108569146796,1.0065165341923092,0.0005674151423217431
ab_p_e[1,21],0.8137971050926237,0.1559932586869044,0.004369224453589336,1345.2090560865042,659.396799623391,1.0018709400988752,0.0008540902817663945
ab_p_e[2,21],-0.046241318860960036,0.10940828861297347,0.003516159339738098,970.3299716730132,847.3708081535267,1.0000452861972056,0.0006160747990528606
ab_p_e[1,22],0.6898777685538399,0.15424675138725735,0.0034150456663460007,1902.071824181026,989.2750431778447,0.9997217896690205,0.0012076495120994974
ab_p_e[2,22],0.16585840524547196,0.10736450423422587,0.0033179860062568576,1045.8199721128653,829.1450291993357,1.0026138807599256,0.0006640043572538667
ab_p_e[1,23],0.2988027103637601,0.15733783997883904,0.004091655526103161,1484.7632441998273,828.7551833672874,1.0011145372475512,0.0009426950048078396
ab_p_e[2,23],0.2997117383931876,0.10610575756222194,0.003260311845676467,1058.1325668441468,940.1682165086523,1.0056404610435963,0.0006718217797249204
ab_p_e[1,24],-0.09912381233050473,0.1625821207462722,0.004830965937213331,1160.6880470726444,724.2290380859885,1.0065839228741968,0.0007369355541295233
ab_p_e[2,24],-0.007792415375341208,0.1022828035985891,0.0034249221342362596,899.6902686639226,851.4247067458653,1.0068564300984064,0.0005712247561736898
σ_e_e[1],0.5065243509889489,0.5860987467709579,0.02116425528199195,449.6050942951829,491.33163051127354,0.99960012104577,0.0002854599736247134
σ_e_e[2],0.4524351097518099,0.5761702913281531,0.02302441437006427,375.46967934166923,401.5081546585168,1.0018983307093567,0.00023839045891989763
ρ_e_e[1,1],1.0,0.0,NaN,NaN,NaN,NaN,NaN
ρ_e_e[2,1],0.0024117238235416665,0.45068874752259136,0.009170459022280593,2411.227788016393,690.9942700137408,1.00829741360318,0.0015309190876703778
ρ_e_e[1,2],0.0024117238235416665,0.45068874752259136,0.009170459022280593,2411.227788016393,690.9942700137408,1.00829741360318,0.0015309190876703778
ρ_e_e[2,2],1.0,8.408234138146404e-17,2.623314832999187e-18,1044.4537727483437,NaN,1.0037368521724863,0.0006631369399591987
ab_e_e[1,1],-0.07650489140645172,0.2309159966889698,0.007527040439172597,1145.6499674364215,691.9089544341234,1.0059265054110018,0.0007273876867436967
ab_e_e[2,1],0.01116801739204811,0.17967965236410152,0.0048600454838960624,1260.4319765015177,558.9484223320803,1.0148211744848972,0.0008002642392918358
